Année	Zürich	Basel	Genf	Bern	Lausanne	Freiburg	Neuenburg	Total	Zurich_f	Bâle_f	Genève_f	Berne_f	Lausanne_f	Fribourg_f	Neuchâtel_f	Total_f	Zürich_e	Basel_e	Genf_e	Bern_e	Lausanne_e	Freiburg_e	Neuenburg_e	Total_e
1891/92	543	401	536	534	289	168	60	2531	67	1	89	80	5	0	0	242	192	75	347	126	89	56	1	886
1892/93	582	442	594	567	349	173	50	2757	98	1	93	86	16	0	0	294	228	80	361	160	133	69	3	1034
1893/94	627	435	598	566	416	196	65	2903	133	3	106	76	27	0	0	345	252	85	361	157	178	88	5	1126
1894/95	681	459	653	630	402	240	59	3124	143	3	124	82	19	0	1	372	287	99	407	189	166	125	5	1278
1895/96	678	410	685	625	421	242	61	3122	154	3	145	76	23	0	6	407	312	80	442	180	186	114	11	1325
1896/97	674	461	674	668	438	263	94	3272	147	1	129	84	41	0	4	406	306	106	444	187	201	144	20	1408
1897/98	723	442	762	677	452	331	105	3492	183	2	174	85	62	0	12	518	342	100	528	191	208	190	21	1580
1898/99	702	441	744	776	487	322	117	3589	186	2	184	117	67	0	19	575	299	110	494	247	223	173	15	1561
1899/00	729	492	774	893	506	317	129	3840	190	4	223	179	76	0	25	697	325	129	512	327	256	173	25	1747
1900/01	695	525	820	1111	583	326	147	4207	159	5	281	303	93	0	35	876	287	148	557	496	281	179	31	1979
1901/02	655	529	911	1164	575	349	132	4315	141	8	338	364	127	0	29	1007	234	139	626	542	308	180	24	2053
1902/03	885	560	935	1228	681	372	129	4790	236	10	369	410	184	0	33	1242	394	148	689	606	390	213	24	2464
1903/04	933	542	887	1357	673	418	132	4942	254	11	348	479	216	0	30	1338	428	125	647	707	397	255	29	2588
1904/05	1013	512	886	1503	740	438	127	5219	271	13	306	513	266	0	29	1398	498	106	610	817	460	260	40	2791
1905/06	1105	530	1000	1434	976	441	126	5612	272	13	371	437	419	0	24	1536	566	119	740	738	674	262	26	3125
1906/07	1339	580	1201	1626	1066	469	163	6444	371	14	557	506	449	0	46	1943	756	120	959	837	780	299	33	3784
1907/08	1489	605	1350	1712	1041	554	154	6905	385	16	544	519	384	5	49	1902	763	150	1140	882	741	382	38	4096
1908/09	1474	621	1405	1619	927	568	138	6752	354	21	607	420	297	8	38	1745	736	127	1172	751	602	387	32	3807
1909/10	1474	669	1452	1626	964	604	169	6958	318	21	627	345	265	8	57	1641	704	156	1192	698	635	419	42	3846
1910/11	1451	692	1438	1477	1003	587	183	6831	290	24	561	290	263	5	73	1506	649	162	1169	516	647	412	68	3623
1911/12	1421	772	1515	1519	1054	605	248	7134	226	39	569	252	272	24	100	1482	557	194	1223	451	676	426	90	3617
1912/13	1480	825	1316	1612	971	553	262	7019	216	46	458	203	240	23	116	1302	574	172	1010	490	572	367	107	3292
1913/14	1688	935	1638	1784	1192	598	275	8110	220	48	486	192	262	34	93	1335	711	262	1298	662	750	393	109	4185
1914/15	1695	959	909	1944	703	411	193	6814	252	58	203	189	142	24	57	925	609	248	668	692	467	239	76	2999
1915/16	1798	980	1027	1447	957	461	217	6887	203	52	225	126	114	28	64	812	513	252	649	257	474	225	34	2404
1916/17	2205	912	1430	1945	1322	553	273	8640	289	49	217	171	121	29	54	930	659	124	896	357	525	273	70	2904
1917/18	2375	973	1320	2109	1272	599	274	8922	297	58	196	187	120	28	42	928	624	143	753	451	487	280	81	2819
1918/19	1908	982	881	1870	988	475	203	7307	283	79	166	185	91	31	42	877	426	134	412	364	368	286	39	2029
1919/20	1825	1070	1086	1787	999	535	199	7501	274	82	176	189	97	35	44	897	379	173	426	308	395	240	34	1955
1920/21	1615	1034	912	1773	907	517	191	6949	242	86	162	179	110	31	41	851	289	181	315	281	327	227	28	1648
1921/22	1534	1000	829	1642	823	514	168	6510	244	86	155	167	99	34	39	824	207	147	250	209	264	224	10	1311
1922/23	1441	919	704	1525	706	501	178	5974	223	81	142	154	94	30	33	757	173	126	176	185	179	206	10	1055
1923/24	1634	1005	739	1517	724	524	170	6313	267	104	164	151	103	29	39	857	225	160	182	202	182	182	17	1150
1924/25	1731	1117	856	1435	741	557	186	6623	263	142	199	153	108	39	39	943	322	282	270	181	205	234	29	1523
1925/26	1675	1115	819	1469	767	605	212	6662	251	133	170	143	120	46	45	908	305	300	298	199	254	254	33	1643
1926/27	1591	1135	832	1404	713	624	249	6548	249	129	189	135	98	54	56	910	260	308	324	167	227	251	46	1583
1927/28	1575	1110	871	1384	770	622	208	6540	257	133	188	144	118	52	37	929	264	312	370	164	283	241	37	1671
1928/29	1565	1065	887	1430	802	619	249	6617	231	132	212	159	129	44	46	953	230	309	421	173	306	264	51	1754
1929/30	1601	1050	925	1365	823	607	276	6647	253	118	214	143	136	44	59	967	226	301	439	158	328	277	70	1799
1930/31	1652	1047	1047	1407	814	635	332	6934	259	118	231	147	138	46	57	996	270	343	495	190	328	294	61	1981
1931/32	1858	1137	1078	1540	851	657	275	7396	291	137	241	180	154	47	80	1130	354	357	483	221	320	299	46	2080
1932/33	2031	1206	1086	1679	800	704	250	7756	357	158	231	215	131	64	39	1195	341	408	467	243	248	318	38	2063
1933/34	2243	1518	1049	1900	866	736	274	8586	425	224	226	224	125	61	57	1342	358	621	455	340	263	306	44	2387
1934/35	2291	1492	1078	1970	911	714	315	8771	424	250	259	260	132	40	65	1430	358	562	459	326	270	274	56	2305
1935/36	2238	1488	1080	2026	859	763	284	8738	399	253	253	253	129	46	66	1399	322	479	434	282	266	270	41	2094
1936/37	2239	1482	1012	2073	874	798	246	8724	404	247	243	267	143	51	48	1403	266	405	369	209	245	275	26	1795
1937/38	2297	1468	1077	2130	1077	838	303	9190	397	260	244	267	244	52	69	1533	263	331	414	210	302	284	54	1858
1938/39	2419	1612	1108	2058	1090	959	294	9540	406	270	258	252	192	68	57	1503	298	356	438	176	397	319	40	2024
1939/40	2432	1512	964	2062	875	820	318	8983	401	249	231	227	135	67	61	1371	221	227	297	139	217	170	32	1303
1940/41	2553	1598	1109	2073	1079	907	325	9644	411	249	262	244	166	62	67	1461	177	169	291	100	286	150	24	1197
1941/42	2689	1700	1179	2225	1165	901	339	10198	391	268	304	240	195	72	61	1531	158	162	293	105	265	134	10	1127
1942/43	2800	1778	1273	2264	1294	965	335	10709	417	307	330	229	189	79	55	1606	178	152	336	106	271	130	19	1192
1943/44	2867	1833	1655	2406	1426	1195	428	11810	426	307	378	246	192	103	71	1723	260	175	591	104	386	255	37	1808
1944/45	2931	1929	1694	2513	1371	1160	477	12075	458	314	397	254	213	108	84	1828	320	214	609	121	377	260	46	1947
1945/46	2969	1988	1700	2575	1327	1049	500	12108	471	314	402	266	183	105	75	1816	284	212	500	160	264	186	70	1676
1946/47	2958	2126	2017	2600	1488	1080	448	12717	496	360	575	265	201	118	77	2092	413	359	811	193	450	313	101	2640
1947/48	2961	2155	2308	2640	1698	1043	372	13177	441	388	656	272	243	129	102	2231	522	479	1140	250	656	363	138	3548
1948/49	3041	2186	2312	2593	1592	1051	398	13173	478	366	633	264	200	113	64	2118	690	535	1158	302	563	368	113	3729
1949/50	3027	2036	2238	2510	1657	985	400	12853	479	340	631	234	177	94	55	2010	627	451	1132	280	607	344	128	3569
1950/51	3010	1983	2192	2576	1688	1001	354	12804	473	300	606	246	198	95	41	1959	568	459	1108	333	618	351	74	3511
1951/52	2850	1975	2241	2475	1730	1010	361	12642	466	310	610	252	180	75	46	1939	509	452	1172	297	654	373	72	3529
1952/53	2736	1951	2270	2395	1764	977	343	12436	443	277	664	256	189	71	49	1949	502	457	1218	268	646	355	80	3526
1953/54	2688	1987	2375	2318	1818	902	333	12421	446	295	753	267	204	51	47	2063	467	474	1306	237	652	314	72	3522
1954/55	2612	2006	2423	2238	1848	897	371	12395	438	287	803	250	216	57	44	2095	454	499	1335	231	693	295	83	3590
1955/56	2545	1972	2525	2152	1959	1044	391	12588	411	297	877	248	242	89	60	2224	434	529	1455	239	786	360	84	3887
1956/57	2493	1992	2627	2122	2083	1102	441	12860	427	307	921	241	241	111	70	2318	389	551	1515	215	869	412	133	4084
1957/58	2538	2151	2773	2170	2130	1364	483	13609	409	320	995	256	271	136	77	2464	452	649	1617	285	923	509	128	4563
1958/59	2735	2134	3142	2244	2292	1432	547	14526	462	369	1185	295	304	137	105	2857	521	637	1854	297	1023	521	162	5015
1959/60	3135	2270	3302	2264	2429	1568	608	15576	528	391	1255	327	333	145	112	3091	593	760	1975	288	1091	573	162	5442
1960/61	3528	2421	3488	2481	2610	1684	598	16810	614	438	1334	354	386	171	98	3395	695	873	2005	307	1223	676	153	5932
1961/62	3971	2800	3659	2666	2950	1867	711	18624	632	503	1439	425	471	228	149	3847	717	1031	2065	313	1431	754	208	6519
1962/63	4674	2894	3950	2903	3289	1938	830	20478	714	546	1560	502	583	232	175	4312	846	1039	2188	360	1568	807	237	7045
1963/64	5241	3194	3921	3249	3327	2123	940	21995	878	630	1585	562	565	233	198	4651	892	1053	2008	421	1579	850	294	7097
1964/65	5937	3473	4264	3643	3541	2285	1103	24246	1196	698	1699	658	704	320	266	5541	921	1070	2093	464	1504	881	359	7292
1965/66	6455	3767	4300	4137	3738	2486	1255	26138	1394	803	1700	788	838	361	345	6229	847	1084	1938	480	1592	917	428	7286
1966/67	7002	3719	4679	4079	3943	2711	1159	27292	1557	823	1739	790	719	449	350	6427	822	1006	1739	433	1585	950	311	6846
1967/68	7591	3736	4824	4464	4279	2838	1191	28923	1713	777	2117	867	982	465	350	7271	863	925	2082	417	1674	911	300	7172
1968/69	8070	4013	5285	4826	4548	3001	1340	31083	1869	844	2217	950	1116	538	376	7910	906	959	2117	468	1785	898	394	7527
1969/70	8456	4314	5785	5226	4739	2966	1270	32756	1986	948	2422	1030	1150	562	448	8546	1023	957	2250	491	1813	882	362	7778
1970/71	8656	4376	6408	5539	4631	3011	1189	33810	2067	980	2725	1107	1142	577	406	9004	1009	852	2521	586	1710	920	353	7951
1971/72	9184	4585	6703	5955	5251	3141	1269	36088	2385	1057	2885	1259	1329	663	477	10055	1444	800	2585	587	1986	997	368	8767
1972/73	9925	4749	6705	6243	5721	3230	1475	38048	2659	1123	3098	1396	1500	703	489	10968	1504	768	2523	561	2070	1000	394	8820
1973/74	10468	4946	7011	6314	6116	3399	1585	39839	2909	1214	3034	1432	1651	785	548	11573	1566	708	2533	524	2065	1045	413	8854
1974/75	11514	5150	7313	6552	6265	3489	1640	41923	3251	1294	3250	1584	1689	866	556	12490	1727	683	2594	512	2061	1001	417	8995
1975/76	12310	5336	7509	6817	6343	3810	1727	43852	3505	1361	3404	1647	1773	973	615	13278	1895	642	2585	486	2041	979	360	8988
1976/77	12893	5474	7849	6879	6493	3969	1753	45310	3922	1464	3634	1674	1895	1092	643	14324	1625	600	2710	369	1995	971	341	8611
1977/78	13248	5541	8522	7015	6716	3999	1822	46863	4085	1549	4080	1789	1957	1123	704	15287	1673	555	2992	325	2078	923	341	8887
1978/79	13928	5577	8912	7158	7021	3899	1860	48355	4454	1646	4264	1886	2096	1157	684	16187	1734	551	3042	312	2215	889	351	9094
1979/80	14316	5623	9330	7310	7234	4009	1887	49709	4832	1699	4606	2001	2257	1240	713	17348	1807	530	3237	322	2239	949	322	9406
1980/81	14786	5715	9863	7601	7650	4110	1928	51653	5130	1773	5026	2187	2446	1363	768	18693	1909	555	3516	370	2479	1018	372	10219
1981/82	15451	6030	10348	7763	8024	4518	1984	54118	5565	1958	5194	2316	2654	1613	821	20121	2007	632	3625	392	2575	1270	378	10879
1982/83	15801	6310	10925	7767	8333	4704	2051	55891	5758	2069	5617	2486	2829	1736	862	21357	1990	661	3849	395	2580	1250	400	11125
1983/84	16906	6448	11323	8214	8757	4992	2101	58741	6314	2190	5787	2740	3005	1901	883	22820	2000	700	3989	512	2547	1311	403	11462
1984/85	17623	6466	11553	8544	9241	5246	2115	60788	6686	2240	5894	2937	3194	2030	907	23888	1933	726	3995	530	2583	1307	383	11457
1985/86	18128	6543	11468	8740	9412	5395	2243	61929	7090	2360	5847	3017	3298	2107	984	24703	1932	759	4113	563	2556	1330	403	11656
1986/87	18653	6676	11432	8952	9621	5358	2257	62949	7412	2366	5858	3119	3433	2113	975	25276	1950	801	4041	685	2547	1255	411	11690
1987/88	19337	6713	11465	9059	9728	5338	2351	63991	7866	2428	5892	3179	3495	2162	1048	26070	1942	837		454		1253		
1988/89	20145	6685	11500	9295	10092	5439	2394	65550	8445	2485	5944	3366	3612	2197	1067	27116	1986	918		486		1273		
1989/90	20690	6762	11979	9508	10437	5814	2512	67702	8814	2615	6270	3516	3837	2389	1129	28570	2074	987	4251	475	2759	1406	542	12494
1990/91	21178	6808	12592	9744	11138	6327	2693	70480	9310	2714	6651	3677	4202	2677	1236	30467	2105	1059	4623	525	2934	1535	620	13401
